,pvalue,medianA,medianB,meanA,meanB,pvalue_adj
hdc,0.0,10.234900140545376,0.0,9.99060690122341,1.5253375881781295,0.0
slo,0.0,0.0,9.281982599019651,0.503945853204288,8.272712614412326,0.0
ps,0.0,0.0,9.879320998024957,0.774030773038592,9.29986479114999,0.0
Rdl,1.413876012917793e-294,0.8300177055866079,11.165111628155913,3.2690712658522205,10.70361920428779,2.3029212498405015e-290
Rbp9,9.027121861470916e-283,0.0,9.863012444121363,1.5116779324993055,8.950525368022074,1.4703376087963828e-278
Hsp27,4.283598585687794e-280,11.81693765784179,8.712265370465431,11.620268453633477,7.6563876132123125,6.977125376368279e-276
Atpalpha,3.3091454615607197e-279,10.216981298689072,13.416563460060074,9.508285961655165,13.078023567513695,5.3899361277901e-275
chic,1.7187641482468206e-277,11.866449478138266,9.35366585840889,11.669343728640966,8.414265087196467,2.7995230446644215e-273
CG33543,1.4427846741214395e-276,0.0,9.377620205530826,0.5438369018034862,7.951403917340047,2.3500076772090005e-272
Act5C,2.5109656839754256e-276,14.43375756428955,11.850704349448993,14.11528551527989,10.972220092460896,4.0898609060591734e-272
Hsp23,1.348033672018397e-275,13.236773369028196,10.813295262230367,13.046681352982619,10.093748232160085,2.195677244983565e-271
cib,2.0733189157227342e-275,10.6776096792744,5.923052499874166,10.215781267153137,4.959284461932968,3.3770218499291896e-271
Hr46,2.625441627982144e-274,0.0,7.073845864449903,0.24468118925197174,5.717825434403616,4.276319323657316e-270
Rbp,5.7958669192542585e-266,0.0,7.296257669725015,0.3125686025351079,6.111667479530438,9.440308038081337e-262
Akap200,3.7161709417529456e-261,11.479190144637418,9.140988951673666,11.281715631908629,8.081561946959871,6.0528992299271974e-257
CG13298,4.112564619203888e-261,10.598578586329603,7.283483366455058,10.312375884197227,5.682419178224507,6.698545251759293e-257
shakB,1.0618665621076299e-259,7.159609501673469,11.396324474539027,5.6829987047918555,10.930000942014608,1.7295682563609076e-255
CG31808,5.304206683603384e-258,0.0,7.694271443756452,0.0704348719480004,6.002081344982141,8.639491846253192e-254
para,4.920125886895834e-257,3.1125884195708364,9.725124684194286,3.5051212628949138,9.211012282491666,8.013901044575934e-253
Cyt-c-p,1.6388902193442748e-255,4.8003116687623155,10.154328407937582,3.679174818989005,9.51318491113737,2.669424389267955e-251
Syt12,2.5797232177180525e-254,0.0,8.032895305292842,0.09766047667893707,6.181448790914214,4.201853177019164e-250
bol,1.9714609140903928e-253,0.0,8.890377824607643,1.3874255400002158,7.841644633541479,3.2111155368704316e-249
